Season,Round,Date,Time,Home Team,HScore,AScore,Away Team,Venue
2012,1,Saturday 31 March,,Adelaide Thunderbirds,57,40,New South Wales Swifts,"Netball SA Stadium, Adelaide"
2012,1,Sunday 1 April,,Queensland Firebirds,42,47,Melbourne Vixens,Brisbane Convention and Exhibition Centre
2012,1,Sunday 1 April,,Northern Mystics,51,47,Central Pulse,"Trusts Stadium, Auckland"
2012,1,Monday 2 April,,Southern Steel,49,47,Waikato Bay of Plenty Magic,"Stadium Southland Velodrome,Invercargill"
2012,1,Monday 2 April,,West Coast Fever,55,35,Canterbury Tactix,"Challenge Stadium, Perth"
2012,2,Saturday 7 April,,Central Pulse,47,42,Southern Steel,"Pettigrew Green Arena, Napier"
2012,2,Sunday 8 April,,Queensland Firebirds,44,54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2012,2,Sunday 8 April,,West Coast Fever,41,50,Melbourne Vixens,"Challenge Stadium, Perth"
2012,2,Sunday 8 April,,Waikato Bay of Plenty Magic,41,47,Northern Mystics,"Claudelands Arena, Hamilton"
2012,2,Monday 9 April,,Canterbury Tactix,54,51,New South Wales Swifts,"CBS Canterbury Arena, Christchurch"
2012,3,Sunday 15 April,,Queensland Firebirds,58,32,Central Pulse,Brisbane Convention and Exhibition Centre
2012,3,Sunday 15 April,,Adelaide Thunderbirds,34,48,Melbourne Vixens,"Netball SA Stadium, Adelaide"
2012,3,Sunday 15 April,,Canterbury Tactix,53,55,Southern Steel,"CBS Canterbury Arena, Christchurch"
2012,3,Monday 16 April,,Northern Mystics,52,45,West Coast Fever,"Trusts Stadium, Auckland"
2012,3,Monday 16 April,,New South Wales Swifts,49,47,Waikato Bay of Plenty Magic,"State Sports Centre, Sydney"
2012,4,Saturday 21 April,,Southern Steel,53,56,West Coast Fever,"Lion Foundation Arena, Dunedin"
2012,4,Sunday 22 April,,Melbourne Vixens,40,39,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
2012,4,Sunday 22 April,,New South Wales Swifts,54,49,Queensland Firebirds,"State Sports Centre, Sydney"
2012,4,Sunday 22 April,,Northern Mystics,48,50,Adelaide Thunderbirds,"Trusts Stadium, Auckland"
2012,4,Monday 23 April,,Central Pulse,50,45,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
2012,5,Sunday 29 April,,West Coast Fever,36,48,Adelaide Thunderbirds,"Challenge Stadium, Perth"
